"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"49",21,5,NA,"agomelatine","Licensed",137,83,32,11,135,12.77,8.23,18.75,20,20,25,"cc",0.290198888707632,0.115877927004201,-0.0751191513871202,0.212903531896771,0.215163702764718,0.433043516684978,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"51",21,5,NA,"paroxetine","Licensed",147,81,34,10,144,13.09,8.37,23.6,20,20,20,"cc",0.195355774632861,0.119254891692583,-0.0849461905212968,0.209728938357488,0.0494018620097819,0.443975388302504,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"55",22,4,2009,"placebo","Licensed",141,35,15,0,141,18.7,7.3,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"53",22,4,2009,"agomelatine","Extremely low",133,54,10,1,132,16.5,7,7.5,8,8,10,"cc",0.492046747231275,0.180219176326787,-0.34705434595175,0.389943163926008,1.1568105279111,1.62852967186765,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"52",22,4,2009,"agomelatine","Licensed",138,70,8,1,138,14,6.6,18.75,20,20,25,"cc",0.714653385780909,0.168874413289842,-0.607102454201411,0.421103421113522,1.12004168012401,1.62861269559432,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"119",53,2,1988,"placebo","Licensed",112,36,32,5,106,18.35,9.87,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"118",53,2,1988,"bupropion","Licensed",112,56,25,6,110,14.52,8.77,33,20.1,20.1,300,"cc",0.441832752279039,0.166666666666667,-0.246860077931526,0.231068944566026,0.182321556793955,0.590600985276459,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"173",77,3,1984,"placebo","Licensed",24,7,14,NA,18,15.2,8.03,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"171",77,3,1984,"bupropion","Extremely low",28,7,15,NA,21,16.1,8.03,16.5,10.05,10.05,150,"cc",-0.154150679827258,0.456435464587638,-0.085157808340307,0.246402690152291,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"172",77,3,1984,"bupropion","Licensed",25,8,16,NA,21,15.5,8.03,33,20.1,20.1,300,"cc",0.0927093981042675,0.431497944595888,0.0927093981042675,0.228608627925336,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"176",78,3,1985,"placebo","Licensed",43,14,24,0,39,20.5,11.6,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"174",78,3,1985,"bupropion","Licensed",45,17,22,4,34,16.1,7.9,33,20.1,20.1,300,"cc",0.1486936403642,0.291159861012169,-0.132473751066387,0.204066596839124,2.15227318947395,1.47555267425364,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"175",78,3,1985,"bupropion","Licensed",40,21,24,7,36,15.1,10.5,49.5,30.15,30.15,450,"cc",0.477785769687791,0.266067294296256,0.0723206615796261,0.187289934005661,2.77950916508436,1.44417916809567,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"181",79,5,1993,"placebo","Licensed",124,38,39,7,116,-8.3,7.88,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"177",79,5,1993,"bupropion","Extremely low",119,57,38,2,112,-10.5,8.01,11,6.7,6.7,100,"cc",0.446623180601672,0.165504597063758,0.0151825860902468,0.188385078074511,-1.21160489600186,0.791447575890894,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"178",79,5,1993,"bupropion","Low",120,45,42,9,114,-9.6,8.01,22,13.4,13.4,200,"cc",0.201866152866925,0.179276775499619,0.106897794976713,0.1818040153247,0.284104251103897,0.487411945386947,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"179",79,5,1993,"bupropion","Licensed",120,43,51,13,111,-9,8.38,33,20.1,20.1,300,"cc",0.156403778790168,0.182136635427382,0.30105380941767,0.169855878072897,0.651829031229214,0.450979345777447,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"180",79,5,1993,"bupropion","Licensed",119,47,43,12,111,-9.3,7.25,44,26.8,26.8,400,"cc",0.25371951447718,0.176421392537286,0.138796542057423,0.180080432365496,0.580154573226194,0.457954799862286,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"186",81,2,2001,"paroxetine","Licensed",71,36,18,5,66,10.3,7.3,23.6,20,20,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"185",81,2,2001,"bupropion","Licensed",69,35,14,8,66,10.4,6.8,33,20.1,20.1,300,"cc",0.000402495477359719,0.166649169466171,-0.22274105583685,0.313698687148488,0.498577001689792,0.544447186910317,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"191",83,3,2012,"placebo","Licensed",187,86,NA,4,186,-13.9,10.5,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"189",83,3,2012,"bupropion","Extremely low",190,98,NA,12,190,-14.4,10.61,16.5,10.05,10.05,150,"cc",0.114704727111165,0.10593034094051,NA,NA,1.08269683336221,0.568086773174406,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"190",83,3,2012,"bupropion","Licensed",192,82,NA,9,188,-12.9,10.42,33,20.1,20.1,300,"cc",-0.0740148041624497,0.115182906768941,NA,NA,0.784543461043134,0.592077008669388,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
