"","Study_No","No of arms","Study_year","Drug","Dose_range","No_randomised","Responders","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","hayasaka_ddd","ddd","jakubovski_ddd","Dose_delivered_mean","type","logRR","selogRR","logRRdrop","selogRRdrop","logRRdropAE","selogRRdropAE","sameDrug","exc","excdrop","excdropAE","exc","excdrop","excdropAE"
"289",122,4,2001,"duloxetine","Licensed",86,37,31,10,84,-7.42,7.332121112,13.2,13.2,13.2,40,"cc",0.349370120118527,0.202978328969228,-0.142641634680446,0.190843468607736,0.0342890734786322,0.420875442342596,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"292",122,4,2001,"paroxetine","Licensed",87,34,38,10,84,-6.22,7.51542414,23.6,20,20,20,"cc",0.253251909689388,0.209089918009397,0.0493964981597174,0.174964592335044,0.0227282510775561,0.421034193469197,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"290",122,4,2001,"duloxetine","Licensed",91,44,38,10,86,-8.61,7.511630981,26.4,26.4,26.4,80,"cc",0.466129631129222,0.1937507257254,0.00444511029745113,0.176402523948838,-0.0222231367847102,0.42163376756945,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"294",123,2,2002,"placebo","Licensed",122,27,36,3,115,-6.05,7.399425653,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"293",123,2,2002,"duloxetine","Licensed",123,55,43,17,121,-10.91,7.7,19.8,19.8,19.8,60,"cc",0.703333008588981,0.197210680761887,0.169517866598292,0.186297582160847,1.72643774474895,0.613049802326703,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"296",124,2,2002,"placebo","Licensed",139,48,49,4,136,-8.29,7.813475539,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"295",124,2,2002,"duloxetine","Licensed",128,62,50,16,123,-10.46,7.87428092,19.8,19.8,19.8,60,"cc",0.338377043348275,0.148174292598552,0.102646376528594,0.159378225178315,1.46873803033097,0.545429422928103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"300",125,4,2004,"placebo","Licensed",93,41,18,3,93,-8.07,5.496880934,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"299",125,4,2004,"paroxetine","Licensed",86,63,10,3,85,-10.83,5.531726674,23.6,20,20,20,"cc",0.507814856586973,0.133726080577678,-0.509534468002371,0.364931446174166,0.0782521968997481,0.80267432469083,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"297",125,4,2004,"duloxetine","Licensed",95,60,12,4,93,-10.22,5.496880934,26.4,26.4,26.4,80,"cc",0.359495097070508,0.140633945431354,-0.426742506555449,0.342942976203584,0.266404674004496,0.749702827373498,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"298",125,4,2004,"duloxetine","Licensed",93,66,9,3,93,-11.06,5.496880934,39.6,39.6,39.6,120,"cc",0.476082675322118,0.134299600557366,-0.693147180559945,0.381000381000571,0,0.803219328902499,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"301",126,2,2004,"duloxetine","Licensed",166,85,35,19,159,-11.32,6.556950511,19.8,19.8,19.8,60,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"302",126,2,2004,"venlafaxine","Licensed",166,91,22,9,164,-12.03,6.531186722,40.5,30,30,150,"cc",0.0682082500265336,0.103467502628988,-0.464305608131098,0.248953371647965,-0.747214401830221,0.389479777764386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"304",127,2,2004,"placebo","Licensed",104,19,24,9,102,-3.72,6.362688111,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"303",127,2,2004,"duloxetine","Licensed",207,75,45,20,201,-6.49,6.805174502,19.8,19.8,19.8,60,"cc",0.684721240245874,0.226977112923134,-0.0597192347016223,0.22235688970461,0.110179802093775,0.382968417263526,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"305",128,3,2004,"duloxetine","Licensed",164,79,44,21,159,-10.76,7.061331319,19.8,19.8,19.8,60,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"306",128,3,2004,"venlafaxine","Licensed",169,81,31,13,166,-10.73,7.0862543,20.25,15,15,75,"cc",-0.0050309848934577,0.113970110649782,-0.38023471653199,0.207293551526521,-0.509605367360761,0.33545104531541,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"307",128,3,2004,"venlafaxine","Licensed",171,89,37,12,166,-11.02,6.957413312,40.5,30,30,150,"cc",0.077391388586657,0.109309966207556,-0.215068849952498,0.194444813667826,-0.601412916613884,0.344973718941598,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"310",129,3,2005,"placebo","Licensed",137,50,40,8,137,-5.97,6.79,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"309",129,3,2005,"duloxetine","Licensed",273,128,85,20,273,-7.61,6.94,19.8,19.8,19.8,60,"cc",0.250516389134636,0.129808421390924,0.0642809330195455,0.160631354804585,0.22679986251732,0.405015711132301,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"308",129,3,2005,"escitalopram","Licensed",274,121,66,14,274,-7.22,6.62,22.2,20,12,10,"cc",0.19062035960865,0.131588592592323,-0.192371892647456,0.170887711793523,-0.133531392624523,0.430673503154167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"311",130,2,2005,"duloxetine","Licensed",238,144,72,20,238,-14.19,7.52,19.8,19.8,19.8,60,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"312",130,2,2005,"paroxetine","Licensed",240,157,57,17,240,-13.52,7.52,23.6,20,20,20,"cc",0.0780642561017908,0.0703244186403359,-0.241983100852022,0.15186968492453,-0.170887179168292,0.316946654932386,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"316",131,4,2006,"placebo","Licensed",99,51,9,1,99,-10.13,5.571929648,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"315",131,4,2006,"paroxetine","Licensed",97,59,11,1,97,-10.61,5.712337525,23.6,20,20,20,"cc",0.166120682812601,0.127069694373215,0.221079567093358,0.426157146565298,0.020408871631207,1.40697893074078,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"313",131,4,2006,"duloxetine","Licensed",93,60,10,2,93,-11.06,5.689753949,26.4,26.4,26.4,80,"cc",0.225039286479109,0.124180560197112,0.16788087263916,0.436185067188296,0.755667537541279,1.21620158761899,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"314",131,4,2006,"duloxetine","Licensed",103,69,13,2,102,-11.64,5.554727716,39.6,39.6,39.6,120,"cc",0.262671733777888,0.11954433819866,0.328115642030272,0.410151728106929,0.653538042464899,1.21663069665158,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"320",132,4,2009,"placebo","Licensed",146,56,15,5,145,-8.3,5.8,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"318",132,4,2009,"duloxetine","Licensed",75,38,9,3,74,-10,6.4,19.8,19.8,19.8,60,"cc",0.278352977163263,0.154887972189582,0.155292884406035,0.39698253031582,0.155292884406035,0.71634536707618,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"322",133,2,2009,"placebo","Licensed",157,55,33,7,152,-10.26,9.17,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"321",133,2,2009,"duloxetine","Licensed",151,70,46,20,141,-12.37,9.17,19.8,19.8,19.8,60,"cc",0.280128025350272,0.139554968237067,0.371099803555998,0.197611278600006,1.08878809303206,0.424105175103133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"324",134,2,2014,"placebo","Licensed",121,NA,43,7,NA,NA,NA,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"323",134,2,2014,"duloxetine","Licensed",249,NA,70,29,NA,NA,NA,19.8,19.8,19.8,60,"cc",NA,NA,-0.23436722451217,0.158937098162314,0.699723330063194,0.406274998505799,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"326",135,2,2008,"placebo","Licensed",127,45,NA,NA,NA,NA,7.52,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"325",135,2,2008,"duloxetine","Licensed",257,113,NA,NA,NA,NA,7.52,19.8,19.8,19.8,60,"cc",0.215836330505392,0.138948599894555,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"328",136,2,2008,"placebo","Licensed",131,44,NA,NA,NA,NA,7.52,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"327",136,2,2008,"duloxetine","Licensed",261,117,NA,NA,NA,NA,7.52,19.8,19.8,19.8,60,"cc",0.288661216757953,0.140745429281027,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"330",137,2,2010,"placebo","Licensed",44,NA,25,2,40,-14.16,13.66,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"329",137,2,2010,"duloxetine","Licensed",47,NA,28,4,45,-14.03,13.22,19.8,19.8,19.8,60,"cc",NA,NA,0.0473707175152056,0.17807419027566,0.627189212768148,0.840235759491374,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"331",138,2,2012,"duloxetine","Licensed",140,86,32,NA,127,-13.8,6.6,19.8,19.8,19.8,60,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"332",138,2,2012,"paroxetine","Licensed",141,74,36,NA,132,-12,7.1,23.6,20,20,20,"cc",-0.157399670818202,0.104433542340765,0.110665567887519,0.211642911653947,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"336",139,4,2000,"placebo","Licensed",127,32,36,3,119,-7.6,8.73,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"333",139,4,2000,"escitalopram","Licensed",124,47,29,5,118,-10.2,7.6,22.2,20,12,10,"cc",0.408317219763887,0.191280066571551,-0.192317587616082,0.215225473681448,0.534731144619545,0.719301606738279,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"335",139,4,2000,"citalopram","Licensed",127,48,34,11,125,-9.9,10.06,40,40,2.4,40,"cc",0.405465108108164,0.19061820961616,-0.0571584138399485,0.203571881623168,1.29928298413026,0.639135660674916,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"334",139,4,2000,"escitalopram","Licensed",128,55,34,13,123,-11.7,8.87,44.4,40,24,20,"cc",0.533754104971718,0.183698945107986,-0.0650015913009745,0.203722916569611,1.4584938913324,0.628147987745228,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"344",142,2,2001,"fluoxetine","Licensed",14,NA,2,1,NA,NA,NA,40,40,40,40,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"343",142,2,2001,"escitalopram","Licensed",16,NA,1,1,NA,NA,NA,44.4,40,24,20,"cc",NA,NA,-0.826678573184468,1.16879058371097,-0.133531392624523,1.36604224992181,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"349",145,2,2002,"escitalopram","Licensed",101,59,29,4,97,-14.9,9,44.4,40,24,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"350",145,2,2002,"venlafaxine","Licensed",101,47,35,16,98,-12.9,9.1,60.75,45,45,225,"cc",-0.227389842195661,0.135734181726763,0.18805223150294,0.207971649496027,1.38629436111989,0.541015729717704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"353",147,2,2002,"placebo","Licensed",189,79,29,2,189,16.7,9.1,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"354",147,2,2002,"escitalopram","Licensed",191,104,31,9,188,14.3,9.1,22.2,20,12,10,"cc",0.264416633687364,0.108383601519048,0.0561649615116847,0.237095372691186,1.49355098378929,0.774973872931123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"366",152,2,2005,"citalopram","Licensed",182,96,30,NA,174,14.2,9.85,20,20,1.2,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"365",152,2,2005,"escitalopram","Licensed",175,104,25,NA,165,13.2,9.85,22.2,20,12,10,"cc",0.119263420826818,0.0939322099881615,-0.143100843640673,0.249247953100005,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"368",153,2,2005,"citalopram","Licensed",152,87,25,9,142,-20.3,9.96,40,40,2.4,40,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"367",153,2,2005,"escitalopram","Licensed",142,105,10,4,138,-22.4,9.96,44.4,40,24,20,"cc",0.256105694747955,0.0860050086205735,-0.848237268629139,0.355497959361868,-0.742876752971313,0.589482748027085,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"371",154,3,2005,"placebo","Licensed",180,85,20,5,180,-15,9.96,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"370",154,3,2005,"fluoxetine","Licensed",164,61,42,20,164,-14.8,9.96,20,20,20,20,"cc",-0.238686969250993,0.128471911226301,0.835027767795389,0.249311867504053,1.4793847841859,0.488207828151941,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"369",154,3,2005,"escitalopram","Licensed",174,78,30,17,173,-15.5,9.96,22.2,20,12,10,"cc",-0.0520408781250433,0.115249888115037,0.439366659783846,0.268385266624299,1.2576769832978,0.497514670556987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"375",156,2,2006,"duloxetine","Licensed",151,81,37,26,146,11.19,6.66,19.8,19.8,19.8,60,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"374",156,2,2006,"escitalopram","Licensed",144,94,31,13,141,9.93,6.66,44.4,40,24,20,"cc",0.196312164836489,0.0970413101928775,-0.129464170920154,0.213817984609387,-0.645680643321022,0.319088787618555,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"379",158,2,2006,"escitalopram","Extremely low",138,56,32,6,131,-13.2,9.16,8.88,8,4.8,4,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"378",158,2,2006,"bupropion","Extremely low",138,51,34,11,133,-11.6,9.8,16.5,10.05,10.05,150,"cc",-0.0935260580108236,0.151565934072302,0.0606246218164348,0.214869753764214,0.606135803570315,0.493034485561172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"380",159,2,2006,"escitalopram","Licensed",232,144,22,NA,228,-20.93,9.96,44.4,40,24,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"381",159,2,2006,"paroxetine","Licensed",227,128,34,NA,223,-19.3,9.96,47.2,40,40,40,"cc",-0.0959956814714761,0.0777258854774,0.457105425442753,0.257197742970714,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"385",161,3,2007,"citalopram","Extremely low",111,47,5,NA,106,-20.11,8.24,10,10,0.6,10,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"386",161,3,2007,"citalopram","Licensed",110,90,2,NA,108,-25.19,8.11,20,20,1.2,20,"cc",0.658711904140124,0.119531538749712,-0.907240896354237,0.825772415317975,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"384",161,3,2007,"escitalopram","Licensed",109,103,1,NA,108,-28.7,8.11,22.2,20,12,10,"cc",0.802763705602768,0.113145979482896,-1.59125559335091,1.08711392184278,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"387",162,2,2008,"fluoxetine","Licensed",117,89,17,5,113,9.4,7.4,20,20,20,20,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"388",162,2,2008,"escitalopram","Licensed",123,94,15,6,118,8.9,6.5,22.2,20,12,10,"cc",0.00464799196320282,0.0720913523295176,-0.175173563528667,0.3298683165001,0.132311136219293,0.591599169048474,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"399",167,3,2011,"placebo","Licensed",105,66,19,5,100,9.3,6.6,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"398",167,3,2011,"escitalopram","Licensed",100,68,13,2,96,8.7,6.5,22.2,20,12,10,"cc",0.0786431273191133,0.10165425707095,-0.330699457535472,0.331708978393163,-0.867500567704723,0.824909807479697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"397",167,3,2011,"escitalopram","Licensed",105,65,23,14,101,9.9,7.7,44.4,40,24,20,"cc",-0.0152674721307884,0.10718447410195,0.191055236762709,0.277600829914672,1.02961941718116,0.502375310282017,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"400",168,4,2011,"placebo","Licensed",124,45,21,3,124,18.3,10.1,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"401",168,4,2011,"escitalopram","Licensed",121,60,16,5,120,15.6,11,22.2,20,12,10,"cc",0.312173092460077,0.150199567076404,-0.247442695475346,0.306251642738611,0.535316643774287,0.719030148459982,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"402",168,4,2011,"escitalopram","Licensed",119,55,16,7,119,16.2,10.1,44.4,40,24,20,"cc",0.241828767955659,0.154713163403992,-0.230775642990134,0.306024786815509,0.888455932880711,0.678028464532947,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"409",171,2,2008,"placebo","Licensed",71,33,21,1,71,-13.4,9.27,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"408",171,2,2008,"escitalopram","Licensed",140,97,12,2,140,-19,10.65,44.4,40,24,20,"cc",0.399240871468914,0.139229826073421,-1.23857833350341,0.331247666810304,0.0141846349919564,1.21604795785976,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"413",173,2,2008,"placebo","Licensed",106,NA,NA,3,NA,NA,NA,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"412",173,2,2008,"escitalopram","Licensed",103,NA,NA,9,NA,NA,NA,22.2,20,12,10,"cc",NA,NA,NA,NA,1.12732239455054,0.652151626783385,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"415",174,2,2007,"placebo","Licensed",76,22,26,4,71,-7.7,7.57,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"414",174,2,2007,"escitalopram","Licensed",84,30,24,3,81,-9.27,7.53,22.2,20,12,10,"cc",0.210071469746857,0.231787018933923,-0.180126166230519,0.234660496220819,-0.387765531008763,0.747175131205348,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"417",175,2,2009,"placebo","Licensed",99,31,14,3,94,-9.15,7.85,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"416",175,2,2009,"escitalopram","Licensed",50,14,7,2,49,-9.84,6.93,44.4,40,24,20,"cc",-0.111833030163444,0.271266706109855,-0.0100503358535013,0.429167454712848,0.27763173659828,0.896232293120664,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"420",176,3,2009,"placebo","Licensed",220,54,53,7,215,-8.5,8.8,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"418",176,3,2009,"escitalopram","Licensed",325,116,77,16,319,-11.5,8.93,22.2,20,12,10,"cc",0.374408508564714,0.139702650480631,-0.0166841276758139,0.155668108143374,0.436480937207092,0.444673773945311,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"419",176,3,2009,"escitalopram","High",332,123,93,23,318,-11.6,10.7,62.16,56,33.6,28,"cc",0.411692886244016,0.138170536226454,0.150800157037007,0.148536561028318,0.778076644309709,0.422821358245397,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"430",180,4,NA,"placebo","Licensed",56,21,19,5,56,-5.82,8.45,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"429",180,4,NA,"fluoxetine","Licensed",107,41,37,8,103,-6.23,8.45,20,20,20,20,"cc",0.0215724852541278,0.211675114909194,0.0190017897510269,0.229032025543873,-0.177473514481021,0.545707854763273,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"428",180,4,NA,"fluoxetine","Licensed",105,39,43,21,99,-6.04,8.45,40,40,40,40,"cc",-0.00956945101615067,0.214194119618445,0.188152477104748,0.220241777417238,0.806475865866949,0.469295317724453,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"427",180,4,NA,"fluoxetine","Licensed",104,34,51,24,97,-5.39,8.45,60,60,60,60,"cc",-0.137201121513485,0.222616901542543,0.368347445151662,0.211581886304324,0.949576709507622,0.462811126912631,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"434",181,4,NA,"placebo","Licensed",48,11,21,6,48,-5.69,8.65,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"433",181,4,NA,"fluoxetine","Licensed",100,37,38,8,97,-9.78,8.47,20,20,20,20,"cc",0.479053464765653,0.295131808863065,-0.140905453077238,0.207609016565752,-0.446287102628419,0.510718448201485,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"432",181,4,NA,"fluoxetine","Licensed",103,37,41,12,97,-9.58,8.44,40,40,40,40,"cc",0.449494662524109,0.295624841207073,-0.0944783483408601,0.203635017430882,-0.0703807967617995,0.468463369755405,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"431",181,4,NA,"fluoxetine","Licensed",105,30,58,30,103,-7.2,9.03,60,60,60,60,"cc",0.220542769614152,0.306407051787783,0.233161233573364,0.185750596425017,0.826678573184468,0.411877235523957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"482",205,2,1994,"placebo","Licensed",43,17,10,0,43,-8.52,7.76,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"481",205,2,1994,"fluoxetine","Licensed",46,25,14,2,45,-12.3,7.76,20,20,20,20,"cc",0.318221200016452,0.232009881305719,0.26903095582568,0.355575065267941,1.54274653793543,1.53476581858888,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"484",206,2,1995,"placebo","Licensed",32,13,NA,1,32,10.7,7.1,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"483",206,2,1995,"fluoxetine","Licensed",36,23,NA,2,36,8.4,6.8,20,20,20,20,"cc",0.452761822811229,0.24773687657445,NA,NA,0.575364144903562,1.20040502424066,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"488",208,2,1995,"placebo","Licensed",72,10,9,4,70,-6.4,6.7,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"487",208,2,1995,"fluoxetine","Licensed",72,14,12,3,72,-8.6,6.3,20,20,20,20,"cc",0.336472236621213,0.379012920163408,0.287682072451781,0.408248290463863,-0.287682072451781,0.74535599249993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"498",213,2,2000,"placebo","Licensed",35,9,12,4,35,NA,NA,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"497",213,2,2000,"fluoxetine","Licensed",35,17,5,1,35,NA,NA,20,20,20,20,"cc",0.635988766719997,0.33584487993718,-0.8754687373539,0.475594865605671,-1.38629436111989,1.09217999563128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"505",216,2,2004,"placebo","Licensed",10,3,NA,NA,10,14,8.59,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"504",216,2,2004,"fluoxetine","Licensed",10,6,NA,NA,10,6,8.59,20,20,20,20,"cc",0.693147180559945,0.547722557505166,NA,NA,NA,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"507",217,2,2010,"placebo","Licensed",14,NA,NA,NA,NA,NA,NA,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"506",217,2,2010,"fluoxetine","Licensed",14,NA,NA,NA,NA,NA,NA,20,20,20,20,"cc",NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"512",219,3,2013,"placebo","Licensed",260,72,14,3,259,-6.91,7.89,0,0,0,0,"cc",0,NA,0,NA,0,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"510",219,3,2013,"fluoxetine","Licensed",169,40,15,8,168,-6.18,7.39,20,20,20,20,"cc",-0.157003748809665,0.170662167100449,0.499775787579406,0.358234454632397,1.41161216910418,0.669753700791467,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"511",219,3,2013,"fluoxetine","Licensed",84,15,7,4,83,-6.25,7.02,40,40,40,40,"cc",-0.438751085741631,0.25456755450104,0.436717651612269,0.445572439155294,1.417546904624,0.753380659150749,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"513",220,2,2005,"placebo","Licensed",43,15,22,0,43,12.6,6.4,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"514",220,2,2005,"fluoxetine","Licensed",47,15,23,2,47,13.3,7.3,20,20,20,20,"cc",-0.0889474860164962,0.29799483826933,-0.0444957234456624,0.210714016206662,1.52146913948814,1.53491330786919,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"516",221,2,2005,"placebo","Licensed",58,23,6,2,55,15.5,6.7,0,0,0,0,"cc",0,NA,0,NA,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
